Index,time,v(n_ac),v1#branch,v(n_out)
0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,1.000000e-08,1.021863e-03,-1.02084e-05,1.020842e-06
2,2.000000e-08,2.043726e-03,-2.04168e-05,2.041684e-06
3,4.000000e-08,4.087452e-03,-4.08337e-05,4.083369e-06
4,8.000000e-08,8.174905e-03,-8.16674e-05,8.166738e-06
5,1.600000e-07,1.634981e-02,-1.63335e-04,1.633348e-05
6,3.200000e-07,3.269962e-02,-3.26670e-04,3.266695e-05
7,6.400000e-07,6.539924e-02,-6.53339e-04,6.533390e-05
8,1.000000e-06,1.021863e-01,-1.02084e-03,1.020842e-04
9,1.064000e-06,1.087262e-01,-1.08618e-03,1.086176e-04
10,1.192000e-06,1.218061e-01,-1.21684e-03,1.216844e-04
11,1.448000e-06,1.479658e-01,-1.47818e-03,1.478180e-04
12,1.960000e-06,2.002852e-01,-2.00085e-03,2.000851e-04
13,2.984000e-06,3.049239e-01,-3.04619e-03,3.046193e-04
14,5.032000e-06,5.142013e-01,-5.13688e-03,5.136876e-04
15,9.128000e-06,9.327553e-01,-9.31824e-03,9.318235e-04
16,1.100000e-05,1.124047e+00,-1.12292e-02,1.122924e-03
17,1.110000e-05,1.134266e+00,-1.13313e-02,1.133133e-03
18,1.130000e-05,1.154703e+00,-1.15355e-02,1.153549e-03
19,1.153500e-05,1.178716e+00,-1.17754e-02,1.177539e-03
20,1.162469e-05,1.187881e+00,-1.18669e-02,1.186695e-03
21,1.178164e-05,1.203920e+00,-1.20272e-02,1.202717e-03
22,1.182508e-05,1.208359e+00,-1.20715e-02,1.207152e-03
23,1.190111e-05,1.216127e+00,-1.21491e-02,1.214912e-03
24,1.192215e-05,1.218278e+00,-1.21706e-02,1.217061e-03
25,1.195897e-05,1.222040e+00,-1.22082e-02,1.220820e-03
26,1.196917e-05,1.223082e+00,-1.22186e-02,1.221860e-03
27,1.198700e-05,1.224905e+00,-1.22368e-02,1.223681e-03
28,1.200000e-05,1.226233e+00,-1.22501e-02,1.225008e-03
29,1.200197e-05,1.226435e+00,-1.22521e-02,1.225209e-03
30,1.200592e-05,1.226838e+00,-1.22561e-02,1.225613e-03
31,1.201382e-05,1.227645e+00,-1.22642e-02,1.226419e-03
32,1.202962e-05,1.229260e+00,-1.22803e-02,1.228032e-03
33,1.206122e-05,1.232488e+00,-1.23126e-02,1.231257e-03
34,1.212441e-05,1.238946e+00,-1.23771e-02,1.237708e-03
35,1.225080e-05,1.251861e+00,-1.25061e-02,1.250610e-03
36,1.250357e-05,1.277690e+00,-1.27641e-02,1.276414e-03
37,1.300911e-05,1.329349e+00,-1.32802e-02,1.328021e-03
38,1.402020e-05,1.432668e+00,-1.43124e-02,1.431237e-03
39,1.604238e-05,1.639304e+00,-1.63767e-02,1.637666e-03
40,2.000000e-05,2.043713e+00,-2.04167e-02,2.041671e-03
41,2.010000e-05,2.053931e+00,-2.05188e-02,2.051879e-03
42,2.030000e-05,2.074368e+00,-2.07230e-02,2.072296e-03
43,2.070000e-05,2.115242e+00,-2.11313e-02,2.113129e-03
44,2.100000e-05,2.145897e+00,-2.14375e-02,2.143753e-03
45,2.108000e-05,2.154072e+00,-2.15192e-02,2.151920e-03
46,2.124000e-05,2.170421e+00,-2.16825e-02,2.168253e-03
47,2.156000e-05,2.203120e+00,-2.20092e-02,2.200919e-03
48,2.220000e-05,2.268518e+00,-2.26625e-02,2.266251e-03
49,2.348000e-05,2.399313e+00,-2.39692e-02,2.396916e-03
50,2.604000e-05,2.660902e+00,-2.65824e-02,2.658244e-03
51,3.100000e-05,3.167725e+00,-3.16456e-02,3.164561e-03
52,3.110000e-05,3.177944e+00,-3.17477e-02,3.174769e-03
53,3.130000e-05,3.198380e+00,-3.19518e-02,3.195185e-03
54,3.153500e-05,3.222392e+00,-3.21917e-02,3.219173e-03
